text,title,note,category,amount,day_of_month,day_of_week,is_weekend
Purchase at Monthly apartment rent at store Monthly rent budget expense,Purchase at Monthly apartment rent at store,Monthly rent budget expense,rent,13928.43,22,5,1
Quick Quarterly rent transfer to landlord Personal spending on rent,Quick Quarterly rent transfer to landlord,Personal spending on rent,rent,6191.89,8,4,0
Quick Chai Point tea with biscuits at store Routine food item,Quick Chai Point tea with biscuits at store,Routine food item,food,1638.33,26,6,1
Quick Local bakery bread and cake for home Personal spending on food,Quick Local bakery bread and cake for home,Personal spending on food,food,1059.21,25,2,0
Quick House rent payment via UPI with card Routine rent item,Quick House rent payment via UPI with card,Routine rent item,rent,19359.18,20,2,0
Paid for Midnight food delivery today Routine food item,Paid for Midnight food delivery today,Routine food item,food,386.34,27,5,1
Paid for PlayStation PS Plus subscription Routine entertainment item,Paid for PlayStation PS Plus subscription,Routine entertainment item,entertainment,2051.2,3,6,1
Quick Zara shirt and jeans urgent Routine shopping item,Quick Zara shirt and jeans urgent,Routine shopping item,shopping,8380.02,6,2,0
Purchase at PlayStation PS Plus subscription with card Personal spending on entertainment,Purchase at PlayStation PS Plus subscription with card,Personal spending on entertainment,entertainment,1905.18,18,5,1
Online Nike running shoes today,Online Nike running shoes today,,shopping,5151.08,8,5,1
Txn: Spotify premium music renewal Paid via UPI for entertainment,Txn: Spotify premium music renewal,Paid via UPI for entertainment,entertainment,2453.93,9,0,0
Bill for Sunglasses purchase at store Paid via UPI for shopping,Bill for Sunglasses purchase at store,Paid via UPI for shopping,shopping,11935.72,21,3,0
Spent on Flight ticket Indigo to Mumbai at store,Spent on Flight ticket Indigo to Mumbai at store,,transport,3365.2,9,5,1
Quick Tuition fee for coaching for home Personal spending on education,Quick Tuition fee for coaching for home,Personal spending on education,education,5872.58,17,3,0
Parking space monthly rent with card Personal spending on rent,Parking space monthly rent with card,Personal spending on rent,rent,11113.65,26,5,1
Paid for Language learning app subscription today Paid via UPI for education,Paid for Language learning app subscription today,Paid via UPI for education,education,9849.05,17,2,0
Purchase at Dominos pizza party for home Paid via UPI for food,Purchase at Dominos pizza party for home,Paid via UPI for food,food,497.05,6,3,0
Spent on Barbeque Nation buffet with card Routine food item,Spent on Barbeque Nation buffet with card,Routine food item,food,3062.35,27,5,1
Bill for H&M summer collection via GPay,Bill for H&M summer collection via GPay,,shopping,9893.07,1,4,0
Audible audiobooks with card Routine entertainment item,Audible audiobooks with card,Routine entertainment item,entertainment,2801.41,8,0,0
Paid for Sunglasses purchase with card Monthly shopping budget expense,Paid for Sunglasses purchase with card,Monthly shopping budget expense,shopping,13281.57,25,4,0
Online Diesel filling for car via GPay,Online Diesel filling for car via GPay,,transport,1229.5,14,1,0
Quick Ajio discount clothes for home,Quick Ajio discount clothes for home,,shopping,8110.56,15,0,0
Paid for IKEA home furniture for home,Paid for IKEA home furniture for home,,shopping,770.2,8,4,0
Paid for Amazon online purchase Monthly shopping budget expense,Paid for Amazon online purchase,Monthly shopping budget expense,shopping,4429.38,28,2,0
Txn: Security deposit installment urgent Personal spending on rent,Txn: Security deposit installment urgent,Personal spending on rent,rent,31759.11,18,1,0
Online Bank transaction charge today Monthly other budget expense,Online Bank transaction charge today,Monthly other budget expense,other,1223.42,22,3,0
Quick Board game cafe bill with discount Monthly entertainment budget expense,Quick Board game cafe bill with discount,Monthly entertainment budget expense,entertainment,2618.61,22,5,1
Quick Monthly apartment rent for home Monthly rent budget expense,Quick Monthly apartment rent for home,Monthly rent budget expense,rent,37023.7,8,1,0
Online Croma electronics cable & charger via GPay Routine shopping item,Online Croma electronics cable & charger via GPay,Routine shopping item,shopping,7825.12,15,1,0
Paid for Co-living monthly rent,Paid for Co-living monthly rent,,rent,31085.8,27,0,0
Txn: Water tanker for society via GPay Paid via UPI for rent,Txn: Water tanker for society via GPay,Paid via UPI for rent,rent,21256.56,7,6,1
Tuition fee for coaching via GPay Paid via UPI for education,Tuition fee for coaching via GPay,Paid via UPI for education,education,9784.22,9,6,1
Quick Courier speed post delivery with discount Routine other item,Quick Courier speed post delivery with discount,Routine other item,other,1013.3,7,0,0
Lunch thali at office canteen,Lunch thali at office canteen,,food,2094.52,28,4,0
Paid for Ola auto ride via GPay Monthly transport budget expense,Paid for Ola auto ride via GPay,Monthly transport budget expense,transport,354.92,22,6,1
Paid for Perfume & cosmetics store at store Monthly shopping budget expense,Paid for Perfume & cosmetics store at store,Monthly shopping budget expense,shopping,10588.98,20,0,0
Bill for Notebooks and pens set urgent Routine education item,Bill for Notebooks and pens set urgent,Routine education item,education,5503.55,8,2,0
Purchase at College semester tuition fee with discount Monthly education budget expense,Purchase at College semester tuition fee with discount,Monthly education budget expense,education,8245.66,1,3,0
Txn: House rent payment via UPI urgent Routine rent item,Txn: House rent payment via UPI urgent,Routine rent item,rent,10298.26,3,1,0
Spent on Bowling & gaming arcade with discount Routine entertainment item,Spent on Bowling & gaming arcade with discount,Routine entertainment item,entertainment,2534.32,20,6,1
Paid for Dinner with friends at restaurant via GPay Monthly food budget expense,Paid for Dinner with friends at restaurant via GPay,Monthly food budget expense,food,1013.89,24,4,0
Purchase at Flight ticket Indigo to Mumbai at store Personal spending on transport,Purchase at Flight ticket Indigo to Mumbai at store,Personal spending on transport,transport,3243.37,22,5,1
Online Hospital OPD registration urgent Monthly health budget expense,Online Hospital OPD registration urgent,Monthly health budget expense,health,7261.62,3,5,1
Purchase at Academic journal access fee Personal spending on education,Purchase at Academic journal access fee,Personal spending on education,education,585.87,21,2,0
Quick EV charging station fee Personal spending on transport,Quick EV charging station fee,Personal spending on transport,transport,547.84,18,0,0
Quick Amazon Prime annual membership via GPay Routine entertainment item,Quick Amazon Prime annual membership via GPay,Routine entertainment item,entertainment,316.16,26,6,1
Txn: Ice cream at Baskin Robbins at store Routine food item,Txn: Ice cream at Baskin Robbins at store,Routine food item,food,2374.23,25,4,0
Spent on Language learning app subscription at store Personal spending on education,Spent on Language learning app subscription at store,Personal spending on education,education,21682.7,14,0,0
Quick Car servicing & oil change at store Monthly transport budget expense,Quick Car servicing & oil change at store,Monthly transport budget expense,transport,1237.29,13,6,1
Txn: Breakfast at Saravana Bhavan at store Paid via UPI for food,Txn: Breakfast at Saravana Bhavan at store,Paid via UPI for food,food,2880.06,12,2,0
IKEA home furniture at store Routine shopping item,IKEA home furniture at store,Routine shopping item,shopping,7413.0,28,0,0
Quick Vitamin D & Calcium tablets for home Monthly health budget expense,Quick Vitamin D & Calcium tablets for home,Monthly health budget expense,health,7526.05,9,1,0
Paid for Doctor consultation fee today Routine health item,Paid for Doctor consultation fee today,Routine health item,health,2896.36,14,4,0
Txn: Hostel fees payment urgent Paid via UPI for rent,Txn: Hostel fees payment urgent,Paid via UPI for rent,rent,6775.46,1,4,0
Quick Casual t-shirt and hoodie with card Routine shopping item,Quick Casual t-shirt and hoodie with card,Routine shopping item,shopping,17100.19,20,2,0
Purchase at Storage locker monthly rental urgent Routine rent item,Purchase at Storage locker monthly rental urgent,Routine rent item,rent,31675.72,13,5,1
Txn: Gym membership monthly renewal today Paid via UPI for health,Txn: Gym membership monthly renewal today,Paid via UPI for health,health,5386.45,22,5,1
Purchase at Car wash & detailing today Monthly transport budget expense,Purchase at Car wash & detailing today,Monthly transport budget expense,transport,2488.32,10,2,0
Bill for Watch purchase at Titan with discount Personal spending on shopping,Bill for Watch purchase at Titan with discount,Personal spending on shopping,shopping,8175.43,17,3,0
Purchase at Metro card monthly recharge for home Personal spending on transport,Purchase at Metro card monthly recharge for home,Personal spending on transport,transport,465.57,22,2,0
Spent on Apple store accessories Paid via UPI for shopping,Spent on Apple store accessories,Paid via UPI for shopping,shopping,1213.36,20,6,1
Quick Co-living monthly rent at store Paid via UPI for rent,Quick Co-living monthly rent at store,Paid via UPI for rent,rent,33733.84,16,3,0
H&M summer collection with card Personal spending on shopping,H&M summer collection with card,Personal spending on shopping,shopping,14100.2,6,6,1
Txn: Broadband WiFi internet bill with card Paid via UPI for other,Txn: Broadband WiFi internet bill with card,Paid via UPI for other,other,2793.12,22,4,0
Quick Standup comedy show ticket with discount Paid via UPI for entertainment,Quick Standup comedy show ticket with discount,Paid via UPI for entertainment,entertainment,2712.08,15,2,0
Online Decathlon sportswear and gear at store Monthly shopping budget expense,Online Decathlon sportswear and gear at store,Monthly shopping budget expense,shopping,5232.92,23,2,0
Bill for Decathlon sportswear and gear for home Monthly shopping budget expense,Bill for Decathlon sportswear and gear for home,Monthly shopping budget expense,shopping,16117.27,5,1,0
Spent on Perfume & cosmetics store at store Paid via UPI for shopping,Spent on Perfume & cosmetics store at store,Paid via UPI for shopping,shopping,1530.43,11,4,0
Legal notary & document stamps at store Paid via UPI for other,Legal notary & document stamps at store,Paid via UPI for other,other,5014.06,25,4,0
Online Fresh meat and fish store Routine food item,Online Fresh meat and fish store,Routine food item,food,3306.47,25,3,0
Txn: Technical reference book with discount Paid via UPI for education,Txn: Technical reference book with discount,Paid via UPI for education,education,5875.05,16,0,0
Quick Skillshare creative subscription via GPay Personal spending on education,Quick Skillshare creative subscription via GPay,Personal spending on education,education,21092.23,20,4,0
Street food evening snacks with card Personal spending on food,Street food evening snacks with card,Personal spending on food,food,2292.49,28,3,0
Purchase at Ola auto ride today Paid via UPI for transport,Purchase at Ola auto ride today,Paid via UPI for transport,transport,1506.72,11,2,0
Quick Kindle e-book purchase urgent Paid via UPI for education,Quick Kindle e-book purchase urgent,Paid via UPI for education,education,20955.15,1,5,1
Txn: Ice cream at Baskin Robbins with card Monthly food budget expense,Txn: Ice cream at Baskin Robbins with card,Monthly food budget expense,food,2760.57,25,0,0
Apple store accessories via GPay Paid via UPI for shopping,Apple store accessories via GPay,Paid via UPI for shopping,shopping,4598.39,22,0,0
Purchase at Bedsheet and pillow covers for home,Purchase at Bedsheet and pillow covers for home,,shopping,3353.09,24,5,1
Spent on Parking space monthly rent urgent Monthly rent budget expense,Spent on Parking space monthly rent urgent,Monthly rent budget expense,rent,9323.95,10,4,0
Txn: GRE / TOEFL exam registration with card Personal spending on education,Txn: GRE / TOEFL exam registration with card,Personal spending on education,education,15005.99,4,5,1
Blood test and full body checkup for home Routine health item,Blood test and full body checkup for home,Routine health item,health,4355.41,3,4,0
Quick Netflix monthly subscription with discount Routine entertainment item,Quick Netflix monthly subscription with discount,Routine entertainment item,entertainment,494.61,21,6,1
Quick LPG gas cylinder refill via GPay Routine other item,Quick LPG gas cylinder refill via GPay,Routine other item,other,4429.39,20,6,1
Quick ATM cash withdrawal unaccounted urgent Personal spending on other,Quick ATM cash withdrawal unaccounted urgent,Personal spending on other,other,2001.6,27,0,0
Txn: Protein powder supplement with discount Paid via UPI for health,Txn: Protein powder supplement with discount,Paid via UPI for health,health,4644.83,11,0,0
Spent on Laundry dry cleaning with discount Routine other item,Spent on Laundry dry cleaning with discount,Routine other item,other,1351.51,11,2,0
Txn: Apollo Pharmacy medicines with card Paid via UPI for health,Txn: Apollo Pharmacy medicines with card,Paid via UPI for health,health,2082.58,16,4,0
Online Winter jacket shopping with discount Monthly shopping budget expense,Online Winter jacket shopping with discount,Monthly shopping budget expense,shopping,14355.62,10,1,0
Txn: Online test series subscription urgent Routine education item,Txn: Online test series subscription urgent,Routine education item,education,16766.68,16,4,0
Bill for Board game cafe bill for home Routine entertainment item,Bill for Board game cafe bill for home,Routine entertainment item,entertainment,2167.7,10,2,0
Txn: Zara shirt and jeans for home,Txn: Zara shirt and jeans for home,,shopping,2504.16,25,5,1
Txn: Bus pass monthly renewal with discount,Txn: Bus pass monthly renewal with discount,,transport,1280.42,25,4,0
Txn: Blood test and full body checkup urgent Personal spending on health,Txn: Blood test and full body checkup urgent,Personal spending on health,health,1974.37,10,0,0
Flight ticket Indigo to Mumbai Personal spending on transport,Flight ticket Indigo to Mumbai,Personal spending on transport,transport,2512.45,21,6,1
Water utility bill urgent Paid via UPI for other,Water utility bill urgent,Paid via UPI for other,other,2869.44,11,1,0
Online Barbeque Nation buffet with card Paid via UPI for food,Online Barbeque Nation buffet with card,Paid via UPI for food,food,2898.75,16,0,0
Spent on Subway sub & drink urgent Personal spending on food,Spent on Subway sub & drink urgent,Personal spending on food,food,407.91,4,4,0
Txn: Language learning app subscription today Paid via UPI for education,Txn: Language learning app subscription today,Paid via UPI for education,education,11537.05,10,6,1
Kindle e-book purchase with card Personal spending on education,Kindle e-book purchase with card,Personal spending on education,education,23715.91,21,1,0
Spent on Dental clinic root canal visit at store Monthly health budget expense,Spent on Dental clinic root canal visit at store,Monthly health budget expense,health,1555.75,6,0,0
Online Coding bootcamp installment urgent Routine education item,Online Coding bootcamp installment urgent,Routine education item,education,1298.71,23,2,0
Txn: Mobile postpaid monthly bill urgent,Txn: Mobile postpaid monthly bill urgent,,other,4748.19,22,6,1
Paid for Watch purchase at Titan at store Routine shopping item,Paid for Watch purchase at Titan at store,Routine shopping item,shopping,11798.37,27,1,0
Spent on Monthly apartment rent urgent,Spent on Monthly apartment rent urgent,,rent,28801.76,10,3,0
Purchase at Co-living monthly rent today,Purchase at Co-living monthly rent today,,rent,42707.05,18,3,0
Mobile postpaid monthly bill today,Mobile postpaid monthly bill today,,other,4433.75,9,0,0
Flat maintenance charge urgent Personal spending on rent,Flat maintenance charge urgent,Personal spending on rent,rent,28049.88,16,4,0
Spent on Home repair and plumbing today Paid via UPI for other,Spent on Home repair and plumbing today,Paid via UPI for other,other,3845.23,3,3,0
Bill for Board game cafe bill for home Personal spending on entertainment,Bill for Board game cafe bill for home,Personal spending on entertainment,entertainment,2076.04,11,3,0
Quick Courier speed post delivery Routine other item,Quick Courier speed post delivery,Routine other item,other,2783.47,9,2,0
Quick Parking space monthly rent,Quick Parking space monthly rent,,rent,31306.42,15,3,0
Bill for Chai Point tea with biscuits with discount Monthly food budget expense,Bill for Chai Point tea with biscuits with discount,Monthly food budget expense,food,2233.88,7,2,0
Online Toll plaza FASTag recharge with discount,Online Toll plaza FASTag recharge with discount,,transport,590.35,26,1,0
Toll plaza FASTag recharge today Monthly transport budget expense,Toll plaza FASTag recharge today,Monthly transport budget expense,transport,464.78,15,0,0
Purchase at Cycle repair & parts urgent Paid via UPI for transport,Purchase at Cycle repair & parts urgent,Paid via UPI for transport,transport,1898.93,16,1,0
Quick LPG gas cylinder refill at store,Quick LPG gas cylinder refill at store,,other,5539.02,24,1,0
Quick Society maintenance bill for home,Quick Society maintenance bill for home,,rent,42369.94,9,6,1
Purchase at Nature's Basket gourmet items with discount Paid via UPI for food,Purchase at Nature's Basket gourmet items with discount,Paid via UPI for food,food,3044.58,18,3,0
Quick Amusement park entry ticket with discount Personal spending on entertainment,Quick Amusement park entry ticket with discount,Personal spending on entertainment,entertainment,2811.92,23,1,0
Quick Books and stationery store Paid via UPI for education,Quick Books and stationery store,Paid via UPI for education,education,8294.64,23,6,1
Spent on GRE / TOEFL exam registration with discount Personal spending on education,Spent on GRE / TOEFL exam registration with discount,Personal spending on education,education,24138.16,17,4,0
Online PVR cinemas IMAX tickets with card Paid via UPI for entertainment,Online PVR cinemas IMAX tickets with card,Paid via UPI for entertainment,entertainment,1672.19,1,5,1
Spent on Parking fee at mall with card Routine transport item,Spent on Parking fee at mall with card,Routine transport item,transport,2139.23,11,4,0
Paid for Notebooks and pens set for home,Paid for Notebooks and pens set for home,,education,21382.22,13,2,0
Paid for Broadband WiFi internet bill at store Routine other item,Paid for Broadband WiFi internet bill at store,Routine other item,other,3823.85,8,5,1
Paid for Hostel fees payment with card Routine rent item,Paid for Hostel fees payment with card,Routine rent item,rent,22747.14,1,0,0
Purchase at Spotify premium music renewal for home Personal spending on entertainment,Purchase at Spotify premium music renewal for home,Personal spending on entertainment,entertainment,1248.93,8,4,0
Spent on Language learning app subscription via GPay,Spent on Language learning app subscription via GPay,,education,4788.37,28,3,0
Spent on Winter jacket shopping at store Routine shopping item,Spent on Winter jacket shopping at store,Routine shopping item,shopping,8516.24,15,2,0
Purchase at Midnight food delivery via GPay Routine food item,Purchase at Midnight food delivery via GPay,Routine food item,food,369.65,19,2,0
Purchase at Online test series subscription with discount Personal spending on education,Purchase at Online test series subscription with discount,Personal spending on education,education,21209.79,13,6,1
Txn: Water utility bill today,Txn: Water utility bill today,,other,3474.34,10,5,1
Quick Apollo Pharmacy medicines urgent Monthly health budget expense,Quick Apollo Pharmacy medicines urgent,Monthly health budget expense,health,263.16,20,5,1
Txn: Courier speed post delivery for home Personal spending on other,Txn: Courier speed post delivery for home,Personal spending on other,other,1392.13,20,2,0
Petrol pump fuel refill urgent Monthly transport budget expense,Petrol pump fuel refill urgent,Monthly transport budget expense,transport,3559.32,19,2,0
Purchase at Metro card monthly recharge for home Personal spending on transport,Purchase at Metro card monthly recharge for home,Personal spending on transport,transport,3376.29,7,1,0
Spent on Concert musical event pass urgent Paid via UPI for entertainment,Spent on Concert musical event pass urgent,Paid via UPI for entertainment,entertainment,2759.25,26,2,0
Online PVR cinemas IMAX tickets with card Personal spending on entertainment,Online PVR cinemas IMAX tickets with card,Personal spending on entertainment,entertainment,593.26,28,5,1
Bill for Academic journal access fee with card Monthly education budget expense,Bill for Academic journal access fee with card,Monthly education budget expense,education,19871.5,9,4,0
